fonte,pagina,titolo,n_parole,contenuto
wikivoyage,Castello_(sestiere_di_Venezia),Cosa vedere,301,"2 Chiesa di San Zaccaria, Campo San Zaccaria (Vaporetto Linea 1 S, Zaccaria), ☎ +39 041 5221257.  € 1,00.  Lun-Sab 10:00-12:00, 16:00-18:00. La chiesa fu costruita nel IX secolo per custodire le reliquie di San Zaccaria (padre di Giovanni Battista), donate alla città di Venezia dall'imperatore bizantino Leone V. Dopo un grave incendio nel 1105, fu ricostruita e ricostruita tra il 1458 e il 1515. La costruzione della chiesa iniziò in stile gotico sotto la direzione di Antonio Gambello. E dal secondo piano in su fu eretto secondo il progetto di Mauro Codussi. La facciata della chiesa è uno dei migliori esempi di architettura veneziana del primo Rinascimento. La disposizione interna è per lo più gotica, ma con decorazioni rinascimentali. Sopra il secondo altare sul lato sinistro si trova il capolavoro principale della chiesa: il dipinto di Giovanni Bellini ""Madonna con Bambino e santi"". Napoleone rimase affascinato da questo quadro e nel 1797 lo portò con sé a Parigi, dove è stato tenuto per 20 anni. La chiesa ha due cappelle: San Tarasio e la cappella di Sant'Atanasio. La prima contiene gli altari gotici dell'antica chiesa di Luigi da Forlì (1443-1444) con tele di Vivarini, Plebano e d'Alemagne, in una cripta semi-allagata si trovano le spoglie di otto Dogi che governarono dall'836 al 1172. La cappella di Sant'Atanasio era originariamente la parte centrale della chiesa, nel 1595 fu trasformata in cappella. Qui nell'altare di Vittorio c'è un dipinto del Tintoretto ""La nascita di Giovanni Battista"". Lo scultore Alessandro Vittorio realizzò per la chiesa una statua di San Zaccaria sulla facciata e una statua di Giovanni Battista accanto a una ciotola di acqua santa. Lo stesso scultore fu sepolto nel 1608 al margine sinistro della tribuna del coro. Nel Medioevo, ogni anno a Pasqua, il Doge assisteva alla Messa in questa chiesa. "
wikivoyage,Castello_(sestiere_di_Venezia),Cosa vedere,326,"3 Chiesa di S. Francesco della Vigna, Campo San Francesco della Vigna, ☎ +39 041 5206102.  08:00-12:00, 16:30-18:00. La tradizione vuole che il nome di questa chiesa derivi più o meno dai vigneti che furono dati ai monaci minori da Marco Ziani, figlio di Pietro Doge, nel 1253. Nel 1534 la chiesa fu costruita sul sito del monastero. È stato progettato dal Sansovino che ha curato la costruzione dell'opera stessa. La facciata fu realizzata in un secondo momento (1568-1577) su progetto di Andrea Palladio. Due statue in bronzo di Tiziano Aspetti sono nelle nicchie, nella facciata: a sinistra c'è una statua di Mosè e a destra c'è una statua di San Paolo. L'interno di San Francesco della Vigna è a croce latina con navata centrale, cappelle laterali, un altare e un coro più profondo.Francesco Zorzi fu un francescano incaricato dei lavori per l'edificazione della chiesa. Egli era un esperto di cabala e si fondò sul numero 3, in quanto voleva che le proporzioni dell'edificio comprendessero, oltre che il simbolo della Trinità, anche le consonanze musicali pitagoriche, affinché la chiesa ""riflettesse per intero l'armonia universale"", secondo i princìpi dell'ermetismo. La chiesa doveva avere una lunghezza pari a 3 volte la larghezza: 27 (3x9) piedi di lunghezza per 9 (3x3) piedi di larghezza; le cappelle laterali dovevano essere larghe 3 piedi (piede veneziano) e la cappella dietro l'altare doveva misurare 6 piedi di larghezza per 9 di lunghezza. Il numero 3 ricorda le note fondamentali della tradizione musicale pitagorica (Do, Sol, Mi) che nella cabala musicale esprimevano lo Spirito Santo (Do - Corpo - lunghezza della navata), il Figlio (Mi - l'Anima - la larghezza delle cappelle laterali) ed infine il Padre (Sol - lo Spirito - l'altezza della cappella dietro il coro). Per Zorzi, inoltre, i rapporti delle dimensioni della chiesa dovevano corrispondere agli intervalli musicali: i rapporti dimensionali della chiesa 4/3 corrispondono per esempio alla Quarta, i rapporti 3/6 all'Ottava e i rapporti 6/9 alla Quinta. "
wikivoyage,Castello_(sestiere_di_Venezia),Cosa vedere,266,"4 Chiesa della Pietà (Santa Maria della Visitazione). La chiesa fu costruita nel XV secolo su progetto di Giorgio Massari, e fu consacrata nel 1760. L'edificio è uno dei più eleganti e suggestivi del VII secolo, nel XVIII secolo ospitava un orfanotrofio e un ospedale. Sul soffitto dell'ingresso principale c'è un meraviglioso affresco del Tiepolo: Fortitude Peace è uno dei suoi più grandi capolavori. Da segnalare anche gli affreschi che adornano la volta del coro, che compongono il Trionfo della Fede. Qui Tiepolo eccelleva se stesso, dipingendo la Gloria del Paradiso.La chiesa è anche conosciuta tra gli appassionati di musica classica come la chiesa in cui il sacerdote e compositore cattolico Antonio Vivaldi ha lavorato per la maggior parte della sua vita. 

5 Chiesa di San Giovanni in Bragora, Campo Bandiera e Moro, ☎ +39 041 5205906.  06:00-11:00, 17:00-19:00. La chiesa in stile gotico fu fondata all'inizio dell'VIII secolo, ricostruita nel IX secolo, poi di nuovo - tra il 1475 e il 1505. Nell'altare laterale a sinistra dell'altare maggiore vi è un trittico di Bartolomeo Vivarini “Madonna col Bambino, S. Giovanni e S. Andrea"" (1478). L'altare maggiore è adornato con l'opera di Cima da Conegliano, Il Battesimo di Cristo (1492-1494). Nella prima cappella laterale sinistra è la ""Resurrezione"" di Alvise Vivarini (1498). La chiesa è famosa per il fatto che vi furono battezzati Antonio Vivaldi e Pietro Barbo, il futuro papa Paolo II. Attualmente, la chiesa contiene le reliquie incorruttibili del Santo Patriarca di Alessandria Giovanni il Misericordioso, una spina della corona di spine del Salvatore, nonché una croce dell'Albero della Santa Croce vivificante del Signore. "
wikivoyage,Castello_(sestiere_di_Venezia),Cosa vedere,195,"6 Chiesa di San Giorgio dei Greci. La chiesa fu costruita nel 1539, non appena i Greci ottennero il permesso di costruire una chiesa e una scuola nella Repubblica. Fu completata dal Chianantonio e consacrata nel 1561. L'interno è davvero magnifico: da segnalare la cupola semisferica, con il centro ricoperto di affreschi di G. di Cipro. 

7 Basilica di San Pietro di Castello, Campo di San Pietro (Vaporetto: Linea 5.1 Piazzale Roma, Ferrovia).  € 3,00 ridotto € 1,50.  Lun - Sab. 10:00-18:00, Dom 2:00-17:30. Fu fondata nel 775 sul sito di un antico castello romano, da cui prese il nome. Cattedrale di Venezia fino al 1807, quando la sede fu trasferita a San Marco. Nella sua forma attuale, la chiesa fu costruita nel 1557-1559 dall'architetto Smeraldi. Nel 1588 Andrea Palladio inizia a ricostruire la chiesa. La facciata monumentale è del 1594-1596 e il campanile, progettato da Mauro Codussi (1482-1490). Si trova inoltre un trono sul cui retro sono presenti frasi del Corano e un motivo islamico, si ritiene che esso sia stato utilizzato da S. Pietro ad Antiochia. Accanto alla chiesa si trova il campanile quattrocentesco di Codussi, inclinata come la Torre Pendente di Pisa. "
wikivoyage,Castello_(sestiere_di_Venezia),Cosa vedere,235,"8 Chiesa di Santa Maria Formosa, Campo Santa Maria Formosa, ☎ +39 041 5234645.  08:30-12:30, 17:00-19:00. La Chiesa è una delle otto chiese costruite nel VII secolo da San Magno, Vescovo di Oderzo. La leggenda vuole che la Vergine Maria gli sia apparsa sotto forma di una matrona ben proporzionata. La chiesa fu edificata più volte nel corso dei secoli: nel 1668 fu ricostruita dopo essere stata danneggiata da un terremoto e dopo diversi rifacimenti, l'ultima ricostruzione dell'intero edificio fu eseguita tra il 1916 e il 1921, con i fondi messi a disposizione dal Governo e dal conte Venier. Il campanile barocco fu costruito nel 1668 su progetto di Francesco Zucconi. La facciata della chiesa affacciata sul canale è stata realizzata utilizzando denaro donato dalla famiglia Cappello, in onore del Capitano Vincenzo Cappello, che sconfisse i Turchi. L'interno fu decorato da Mauro Coducci ed è costruito secondo lo schema a croce latina sulle precedenti fondamenta a croce greca. Presenta navata centrale e navate laterali, coro, transetti con volte a crociera e cupola semisferica. La chiesa ospita anche alcuni meravigliosi dipinti di Bartolomeo Vivarini, Palma il Giovane e Palma il Vecchio. 

9 Chiesa di San Martino. La chiesa fu edificata su progetto del Sansovino nel 1540. La facciata della chiesa è molto interessante: per costruire la facciata rinascimentale è stato utilizzato il mattone, il che è molto insolito, poiché è stato utilizzato per costruire templi gotici). "
wikivoyage,Castello_(sestiere_di_Venezia),Cosa vedere,225,"10 Chiesa di Santa Maria della Fava (Santa Maria della Consolazione). La chiesa così com'è fu progettata da Antonio Gaspari nel 1711, mentre l'abside e il presbiterio (1750) furono completati da Giorgio Massari. L'altare destro della chiesa è adornato dal famoso dipinto del Tiepolo ""Sant'Anna, Maria giovane e San Gioacchino"" (1732), e quello sinistro - dal dipinto di Giovanni Battista Piazzetta ""Theotokos con San Filippo"". Alcune statue di santi ed evangelisti furono scolpite da Giuseppe Bernardi. Ai lati dell'altare, opera del Massari, sono i due angeli Giovanni Maria Morlitera. 
11 Chiesa di Sant'Antonin (chiesa di Sant'Antonino martire).  
12 Chiesa di San Biagio (San Biagio dei Marinai).  
13 Chiesa di San Lorenzo. Del IX secolo. 
14 Oratorio della Ca' di Dio (chiesa di Santa Maria della Ca' di Dio).  
15 Chiesa della Madonna dell'Arsenale.  
16 Chiesa di Sant'Anna.  
17 Chiesa di Sant'Elena.  
18 Chiesa di Santa Giustina.  
19 Chiesa di Santa Maria del Pianto.  
20 Chiesa dell'Ospedaletto (Santa Maria dei Derelitti). Baldassare Longena realizzò per questa chiesa una facciata monumentale con sculture (1668-1674). 
21 Chiesa di San Francesco di Paola.  
22 Chiesa di San Giovanni di Malta (San Giovanni al Tempio o anche dei Furlani).  
23 Chiesa di San Giovanni Nuovo (San Zan Novo).  
24 Chiesa di San Giuseppe di Castello.  
25 Chiesa di San Lazzaro dei Mendicanti.  
26 Chiesa di San Lio.  


=== Palazzi ==="
wikivoyage,Castello_(sestiere_di_Venezia),Cosa vedere,299,"27 Scuola di San Giorgio degli Schiavoni (Scuola Dàlmata dei Santi Giorgio e Trifone), Calle dei Furlani, Castello 3259/A (vaporetto linea 1-5 o 1-5-2 per S.Zaccaria), ☎ +39 041 5228828.  Adulti € 4, ridotto € 2.  Mar-Sab 10:00-12:30 e 15:00-18:00, Dom 10:00-12:30. Costruito da commercianti slavi della Dalmazia residenti a Venezia. Al piano terra troverete un meraviglioso ciclo di dipinti dedicato ai venerati santi in Dalmazia, realizzato da Vittore Carpaccio tra il 1502 e il 1509 raffigurante le vite di San Giorgio, Trifone e Girolamo. Al secondo piano c'è un soffitto lussuoso al centro. 

28 Archivo Storico Arti Contemporanee della Biennale di Venezia (Biblioteca ASAC), Paludo S. Antonio, 830 (vaporetto linea 1 o 2 per Castello), ☎ +39 041 5218790.  Lun-Ven 10:00-17:00. Un archivio annesso ai giardini della Biennale dove la Biennale conserva i record relativi alle mostre della Biennale e all'arte del XX secolo, dal 1895 in poi. 
29 Scuola Grande di San Marco. La Scuola è stata fondata nel 1260 e appartiene a una delle sei grandi scuole veneziane. La Scuola San Marco ospitava un ospedale, un orfanotrofio e strutture di formazione. Dopo un incendio nel 1485 fu costruito un edificio moderno dagli architetti Tulio Lombardi e M. Codussi. La facciata dell'edificio è un esempio ben conservato di architettura rinascimentale. Le statue furono realizzate da Bartolomeo Bon e Tullio Lombardo. Situata al piano terra, la Sala Capitolare ha un soffitto ligneo del XVI secolo e un altare in stile sansovino. Nella sala dei ricevimenti i maestri Pietro e Biagio Faenza hanno decorato il soffitto con azzurro e oro. Nella stessa sala si trova la Biblioteca Medica. L'ultimo piano ospitava in origine la serie delle Storie di San Marco di Carpaccio, Bellini e Tintoretto, successivamente trasferite in parte alla Galleria dell'Accademia. 
30 Ospedale dei Santi Pietro e Paolo.  "
wikivoyage,Castello_(sestiere_di_Venezia),Cosa vedere,193,"
=== Musei ===

31 Museo storico navale, Riva S. Biasio Castello, 2148, ☎ +39 041 2441399.  € 1,55.  Lun-Ven 08:45-13:30 - Sab 08:45-13:00. Il Museo Storico Navale, di proprietà della Marina Militare, è situato presso l'Arsenale di venezia. Il museo raccoglie testimonianze storiche riguardanti la navigazione ed in particolare la storia marinara italiana e la marineria veneziana. Assicuratevi di vedere il modello del buchintoro, la nave lussuosamente decorata e dorata che il Doge usava per navigare. Sfortunatamente, nel 1798, Napoleone ordinò la distruzione del Buchintoro, costruito nel 1728, ma abbiamo ancora questa copia storica. Interessante anche la collezione di conchiglie. 

32 Museo diocesano d'arte sacra Sant'Apollonia, Complesso monumentale di Sant'Apollonia Fondamenta della Canonica (vaporetto linea 1-5 o 1-5-2 per San Zaccaria), ☎ +39 0415229166.  € 4,00, ridotto € 2,50.  Gio-mar 10:00-17:00. Arredi religiosi e oggetti provenienti da chiese e conventi ormai demoliti, uno dei più suggestivi chiostri romanici di Venezia. 

33 Museo Dipinti Sacri Bizantini (Istituto Ellenico), Ponte dei Greci, Castello 3412 (vaporetto linea 1-5 o 1-5-2 per San Zaccaria), ☎ +39 041 5226581.  Adulti € 4, ridotto € 3,50.  09:00-16:30. Collezione di icone greche, cretesi e veneziane dal XIV al XVIII secolo. "
wikivoyage,Castello_(sestiere_di_Venezia),Cosa vedere,251,"34 Fondazione Querini Stampalia (Palazzo Querini Stampalia), Castello 5252 (vicino a Camp S.Maria Formosa, vaporetto linea 1-5, 1-5-2 per San Zaccaria), ☎ +39 0412711411.  Adulti € 10, ridotto € 8.  Lun-Dom 10:00-18:00; 25 e 26 dicembre, 1 gennaio. Una piccola raccolta di dipinti dei secoli XIV-XVIII di Bellini, Palma, Ricci, Tiepolo e Longhi. Il Palazzo Querini-Stampaglia fu costruito nel XVI secolo e fu ristrutturato nel 1961-1963 dal modernista Carlo Scarpa. I più interessanti della galleria: un giardino, una scala e un cavalletto con un dipinto del primo Bellini ""Portare al tempio"". Interessanti anche 69 dipinti di Gabriele Bell ""Scene di vita pubblica di Venezia"" (XVIII secolo). Oltre alla galleria, il palazzo ospita anche una libreria di arte e architettura contemporanea, una vetreria di design, una biblioteca pubblica con accesso a Internet e mostre di arte contemporanea. Il venerdì e il sabato alle 17:00 e alle 20:30 - concerti di musica del XVIII secolo. Piazza Querini di fronte al castello è di per sé molto pittoresca: qui convergono tre canali, sui quali vi sono tre ponti. 
35 Museo di Palazzo Grimani (Palazzo Grimani di Santa Maria Formosa), Ramo Grimani, Castello 4858 (vicino Campo Sta. Maria Formosa; vaporetto linea 1 o 2 Rialto o Zaccaria), ☎ +39041 5200345, pm-ven.grimani@beniculturali.it.  14,50 €, residenti nell'UE di età 18-25 € 7,50.  Mar-Dom 10:00-19:00, chiuso 25 dicembre, 1 gennaio, 1 maggio. Un gioiello dell'architettura rinascimentale inaugurato nel 2008 come museo civico veneziano, collezioni di dipinti, collezione archeologica di manufatti greci e romani, mostre temporanee. 


=== Altro ==="
wikivoyage,Castello_(sestiere_di_Venezia),Cosa vedere,297,"36 Arsenale di Venezia, Campo dell’Arsenale. Qui fu fondata a Venezia nel 1104 una complessa impresa per la costruzione e l'equipaggiamento di navi da guerra, tra cui fucine, cantieri navali, depositi di canapa, legname e armi e varie officine, per attrezzare le navi da guerra necessarie alle crociate a cui partecipava la Repubblica di Venezia. Sul territorio dell'Arsenale c'erano cantieri navali coperti, dove venivano costruite fino a 20 galee lunghe fino a 40 metri. Le guerre con Genova portarono alla costruzione nel 1326 di un secondo, nuovo Arsenale (Arsenale Nuovo), in contrasto con il vecchio Arsenale (Arsenale Vecchio), destinato ad ospitare fino a 80 galee. L'Arsenale ricevette il monopolio sulla costruzione di navi per la città e fu la più grande impresa industriale dell'Europa medievale. Più di 15.000 persone hanno lavorato qui! Dopo la sconfitta da parte dei Turchi a Negroponte nel 1473, fu posato il terzo, il nuovissimo Arsenale (Arsenale Nuovissimo), che fu costruito fino al 1570. Il nuovissimo Arsenale ha permesso di costruire grandi navi fino a 50 metri di lunghezza. L'Arsenale di Venezia forniva materiali a due dei suoi arsenali subordinati, a Creta e a Corfù, e produceva navi non solo per Venezia, ma anche su ordinazione. L'Arco di Trionfo all'ingresso fu costruito nel 1460 da Antonio Gambello - il primo monumento rinascimentale della città. L'arco è custodito da un leone alato. Dopo la vittoria sui Turchi a Lepanto nel 1571, il portale iniziò ad essere decorato con trofei di guerra, poiché un grande leone a sinistra si trovava un tempo nella fontana della città greca del Pireo. Nel 1686 furono erette due torri all'ingresso del Vecchio Arsenale. L'Arsenale è ancora una struttura militare chiusa oggi, ma ci sono voci che i vaporetti 41 e 42 possono essere utilizzati per navigare attraverso la baia. "
wikivoyage,Castello_(sestiere_di_Venezia),Cosa vedere,72, 37 Ponte dei Sospiri. Realizzato nel XVII secolo in pietra bianca d'Istria è opera dell'architetto Antonio Contin. Il ponte collega il Palazzo Ducale alle Prigioni e veniva usato proprio per far transitare i reclusi dalle loro celle al tribunale. Le prigioni furono costruite nel 1589 e possono essere visitate con una visita guidata al Palazzo Ducale. Il ponte dei Sospiri è visibile solo dal ponte della Paglia o dal ponte della Canonica. 
wikivoyage,Castello_(sestiere_di_Venezia),Cosa vedere,235,"38 Monumento equestre a Bartolomeo Colleoni, Campo SS.Giovanni e Paolo. L'opera del famoso scultore Andrea del Verrocchi, maestro di Leonardo da Vinci. Bartolomeo Colleoni, condottiero italiano, fu al servizio alternativamente di Milano contro Venezia, poi di Venezia contro Milano. Dopo la sua morte lasciò i suoi beni (100mila ducati d'oro) a Venezia, ma a condizione che gli fosse eretto un monumento in piazza San Marco. Ma poiché lì era vietato erigere monumenti ai comuni mortali, le autorità veneziane dovettero uscire per ricevere il loro lascito, e si inventarono un monumento nella piazza davanti alla Scuola San Marco e intascarono i soldi. 
39 Ponte della Paglia. Il Ponte della Paglia è un ponte di Venezia attraverso il Rio di Palazzo vicino al Palazzo Ducale collegando il molo della Piazzetta di San Marco alla Riva degli Schiavoni. È uno dei ponti che collegano il Sestiere di San Marco e quello di Castello. 
40 Parco delle Rimembranze (aporetto Sant'Elena). Si tratta di un grande parco urbano situato sul lato est di Venezia. Il parco è pieno di alberi ad alto fusto, sentieri, un bel parco giochi. È lontano dalle zone turistiche, quindi è un posto perfetto per rilassarsi e godersi gli alberi, l'erba e la vista sulla laguna. 
41 Giardini della Biennale. Costituiscono l'area verde più estesa del centro storico e, come suggerisce il nome, sono sede della Esposizione internazionale d'arte di Venezia. 


=== Isola San Michele ==="
wikivoyage,Castello_(sestiere_di_Venezia),Cosa vedere,120,"42 Chiesa di San Michele in Isola (San Michele di Murano), Isola San Michele (Vaporetto Cimitero verso Murano Linea 41/42, 61, 62, 71 Fondamento Nuovo), ☎ +39041 522 4119. Questa chiesa fornisce un esempio dell'era rinascimentale. La chiesa è stata progettata da Mauro Codussi e ospita il cimitero cittadino. 
43 Cimitero di San Michele, Isola di San Michele (vaporetto linea 4.1-4.2), ☎ +39 041 7292811.  Gratuito.  Apr-Set: 07:30-18:00; Ott-Mar: 07:30-16:30. Cimitero istituito in seguito all'editto di Napoleone Bonaparte del 1804, parte del circuito europeo dei cimiteri monumentali. Nel cimitero di San Michele sono sepolti il ballerino russo Sergej Diaghilev, il fisico austriaco Christan Doppler, il poeta americano Ezra Pound, il compositore russo Igor Stravinsky e il compositore italo-tedesco Ermanno Wolf-Ferrari."
wikivoyage,Castello_(sestiere_di_Venezia),Cosa fare,5,1 Stadio Pier Luigi Penzo.
wikivoyage,Castello_(sestiere_di_Venezia),Acquisti,38,"1 Libreria Acqua Alta, Calle Lunga Santa Maria Formosa, 5176b, ☎ +39 0412960841. Insolita libreria popolata da gatti che offre titoli vintage accatastati in una gondola o a formare dei gradini. Un luogo molto popolare tra i turisti."
wikivoyage,Castello_(sestiere_di_Venezia),Come divertirsi,35,"=== Spettacoli ===
1 Teatro Piccolo Arsenale, Campo de la Tana, 2161. Teatro utilizzato per la proiezione di film durante la Biennale di Venezia. 


=== Locali notturni ===
2 El Refolo, C. Giazzo, 1580.  Mar-Dom."
wikivoyage,Castello_(sestiere_di_Venezia),Dove mangiare,80,"=== Prezzi modici ===
1 A la scoela, Castello 3183/A, 30122, ☎ +39 041 528 5916. Cicchetteria di quartiere, frequentatissima. Ottima per un'esperienza vera. Si consiglia si assaggiare lo spritz al Cinar o l'originale spritz al Select. 


=== Prezzi medi ===
2 Ae Forcoe, S. Marco, 5377, 30124, ☎ +39 041 520 6215.  


=== Prezzi elevati ===
3 Osteria alla Staffa, Calle Ospedaletto 6398, 30122, ☎ +39 0415239160. Piatti tipici veneti con una buona selezioni di vini, grappe e caffè."
wikivoyage,Castello_(sestiere_di_Venezia),Dove alloggiare,38,"=== Prezzi elevati ===
1 Hotel Danieli, Riva degli Schiavoni - Castello 4196, ☎ +39 041 5226480. Nel Palazzo Dandolo, del XV secolo. 
2 Hotel Londra Palace, Riva degli Schiavoni - Castello 4171, ☎ + 39 041 5200533."
wikivoyage,Castello_(sestiere_di_Venezia),Informazioni utili,24,"2 Ospedale SS Giovanni e Paolo (Vaporetto: Ospedale), ☎ +39 0415294111, urp@ulss12.ve.it. L’ospedale di Venezia. È curioso notare che le ambulanze sono delle imbarcazioni!"
wikivoyage,Dorsoduro,Introduzione,6,Dorsoduro è un sestiere di Venezia.
wikivoyage,Dorsoduro,Da sapere,13,Si tratta di una delle prime aree veneziane ad aver ospitato insediamenti stabili.
wikivoyage,Dorsoduro,Come orientarsi,135,"Il sestiere di Dorsoduro si sviluppa tra il Canal Grande e il Canale della Giudecca. Si divide grossomodo in due aree, la cui divisione è in corrispondenza con le Gallerie dell'Accademia e con il ponte omonimo. La zona ovest si sviluppa attorno a Campo Santa Margherita, frequentato punto di  ritrovo per veneziani e studenti universitari. Si tratta del principale distretto universitario della città. L'area tra Campo Santa Margherita e Canal Grande è attraversata da numerose ed ombreggiate calli. Più aperta è l'area meridionale. La zona orientale è meno frequentata: è caratterizzata dalla presenza di numerosi canali paralleli tra di loro. Tale area è solcata da due differenti percorsi, l'uno parallelo al Canal Grande e l'altro a quello della Giudecca. Tali percorsi convergono nella Punta della Dogana.
La Giudecca stessa fa parte del Sestiere di Dorsoduro."
wikivoyage,Dorsoduro,Come orientarsi,284,"1 Fondamenta delle Zattere — Si tratta di una lunga e soleggiata passeggiata lungo il canale della Giudecca, protetta durante il periodo invernale dai venti freddi del nord per essere esposta a sud e riparata dagli edifici. Potreste trovare interessante vedere come è fatta una gondola, fermandovi allo Squero (in veneziano è un piccolo cantiere navale) attraverso il canale vicino alla chiesa di San Trovaso. È uno dei pochi ancora in attività in città. Con un po 'di fortuna, vedrete alcune gondole attraverso vari passaggi di produzione (notate che le gondole non sono dritte per controbilanciare la spinta del gondoliere). Se ne trovano 1 ai Gesuati, 2 allo Spirito Santo e 3 ai Saloni.
2 Campo Santa Margherita — La grande piazza è un luogo di sosta preferito per i cittadini e gli ospiti di Venezia. Qui potete prendere un caffè, mangiare una pizza o un gelato, o semplicemente sedervi in piazza. Vedete gli archi moreschi della casa n° 2931 o il rilievo della Vergine Maria sulla parete della Scuola dei Varoteri (Scuola dei Conciai) al centro della piazza. E dietro l'angolo in piazza Dei Carmini in un palazzo di fronte alla Scuola nel negozio Vini Sfusi (Calle della Chiesa, Dorsoduro 2897), viene versato del buon vino alla spina a soli 2 euro al litro. Non dimenticate di portare con voi il contenitore!


=== Quartieri ===
3 Giudecca — L'isola è molto meno visitata dai turisti rispetto al gruppo della terraferma. Tuttavia, nel lungomare ci sono molti bei bar e ristoranti con terrazze proprio sull'acqua e una bellissima vista dell'altro gruppo di isolotti di Dorsoduro e di altre parti di Venezia. Numerose sono anche le case dei veneziani ""regolari"", soprattutto nell'isola di Sacca Fisola."
wikivoyage,Dorsoduro,Come arrivare,162,"=== In nave ===

Dall'aeroporto di Venezia Dorsoduro è raggiungibile con la Linea Blu da Alilaguna

1 Santa Marta. 4.1 4.2 5.1 5.2 6 
2 San Basilio. 2 6 8 N. 
3 Zattere. 2 5.1 5.2 6 N Arancio Blu. 
4 Zattere Gesuati. 16 
5 Spirito Santo. 6 
6 Salute. 1 
7 Accademia. 1 N 
8 Ca' Rezzonico. 1 Arancio. 
9 Zitelle. 2 4.1 4.2 N 
10 Redentore. 2 4.1 4.2 N. 
11 Giudecca Palanca. 2 4.1 4.2 N 
12 Sacca Fisola. 2 4.1 4.2 N 


=== A piedi ===
Dai sestieri Santa Croce, San Polo e San Marco ci sono collegamenti su ponte per Dorsoduro. Provenendo dalla stazione, il percorso più utilizzato è via sestiere San Polo e oltre il Ponte Santa Margherita si arriva al Campo Santa Margherita. Dall'angolo sud-est di Piazzale Roma, troverete il Ponte dei Tre Ponti, già a Dorsoduro, sulla Fondamenta del Magazen sull'isolotto di Malcanton. Dorsoduro è raggiungibile dal sestiere San Marco tramite il Ponte dell'Accademia."
wikivoyage,Dorsoduro,Come spostarsi,56,"Il sestiere di Dorsoduro si esplora meglio a piedi, tutte le principali attrazioni sono abbastanza vicine, se vuoi andare oltre puoi usare il vaporetto o la gondola traghetto o anche un taxi acqueo.
La maggior parte delle attrazioni può essere visitata a piedi, ad eccezione delle attrazioni della Giudecca, che possono essere raggiunte solo in barca."
wikivoyage,Dorsoduro,Cosa vedere,189,"=== Chiese ===

1 Chiesa di Santa Maria della Salute, Campo della Salute (all'estremità meridionale del Canal Grande. Prendere il traghetto per raggiungere Riva degli Schiavoni), ☎ +39 041 5225558.  08:30-12:00, 15:00-17:30. Il 22 ottobre 1630, durante l'epidemia di peste che colpì Venezia, il Doge Nicolò Contarini dichiarò pubblicamente che sarebbe stata costruita una chiesa in nome della Salute come giuramento per porre fine alla calamità. Un anno dopo, nel 1631, finì l'epidemia di peste e nel 1687 fu completata la Basilica. Per la costruzione della chiesa furono proposti 11 progetti, di cui fu scelto Baldassarre Longhena. Il progetto prevedeva un'enorme facciata che ricorda il palladio, con un bel portone al centro. La facciata è stata rialzata con una serie di scale per conferire alla chiesa una imponenza ancora maggiore. L'interno ha una zona centrale su un piano ottagonale. Ai lati c'è un numero uguale di archi divisi da colonne. Numerose sono le opere d'arte: Pentecoste, San Rocco e San Sebastiano, Davide e Golia, Caino e Abele di Tiziano; Le nozze di Cana di Galilea di Tintoretto e Iona e Sansone di Palma il Giovane. In stile barocco veneziano. "
wikivoyage,Dorsoduro,Cosa vedere,276,"2 I gesuati (Santa Maria del Rosario), Fondamenta Zattere delle Gesuati (Stazione Zattere), ☎ +39 041 5230625.  € 3, con Chorus Pass - gratuito.  08:00-12:00, 17:00-19:00. Il più grande complesso della cattedrale del XVIII secolo a Venezia, costruito tra il 1726 e il 1735 per i domenicani in sostituzione della chiesa, diventata troppo piccola per i fedeli. Giorgio Massari fu l'architetto che progettò la chiesa in stile rococò veneziano e la decorazione interna in collaborazione con due grandi artisti dell'epoca: Giambattista Tiepolo e Gian Maria Morlaiter. Questi tre sono diventati famosi, col tempo, per il meraviglioso lavoro svolto qui. La chiesa è dedicata alla Madonna del Rosario, rappresentata nell'affresco del soffitto ad opera del Tiepolo. 

3 Chiesa di San Raffaele Arcangelo (Chiesa dell'Angelo Raffaele, in veneziano dell'Anzolo Rafael), Campo dell'Angelo Raffaele. Secondo una tradizione popolare sarebbe stata innalzata per la prima volta nel 416, e durante i secoli seguenti venne distrutta e ricostruita più volte, fino all'ultima consacrazione che risale al 1740. 

4 Chiesa di San Sebastiano, Campo San Sebastiano (Stazione San Basilio), ☎ +39 041 5282487.  € 3 / con Chorus Pass in omaggio.  Lun-Sab 10:30 - 16:30. La facciata piuttosto rigorosa del 1508-48 di Antonio Scarpignano crea una sensazione di ingannevole modestia in questa chiesa. L'interno è decorato, dal pavimento al soffitto, capolavori di Paolo Veronese, realizzati nell'arco di tre decenni. Secondo una leggenda popolare locale, Veronese trovò rifugio a San Sebastiano nel 1555 dopo essere fuggito dall'accusa di omicidio a Verona, e il suo lavoro in questa chiesa è un ringraziamento alla parrocchia. Veronese ha deciso di essere sepolto qui, sotto i suoi capolavori: il suo busto commemorativo è a destra del corpo. "
